Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Thal Chutyali ,Duki ,,Balochistan,"5,554","2,271","3,283","5,554","2,271","3,283",0,0,0,"8,751","4,388","4,363","8,751","4,388","4,363",0,0,0,63.47%,51.75%,75.25%,63.47%,51.75%,75.25%,0.00%,0.00%,0.00%,451,417,480,381,343,415,1,1,1,1,1,1,1,1,1,1,1,1,38.1,48.85,26.57,38.1,48.85,26.57,-,-,-,"5,554",42
Gwadar ,Gwadar ,,Balochistan,"16,588","8,193","8,394","12,060","6,391","5,668","4,528","1,802","2,726","48,253","26,209","22,043","28,145","15,442","12,702","20,108","10,767","9,341",34.38%,31.26%,38.08%,42.85%,41.39%,44.62%,22.52%,16.74%,29.18%,201,224,189,211,254,182,149,61,198,3,3,3,3,3,3,4,4,4,51.6,58.69,43.61,45.8,51.7,39.09,57.17,65.46,47.92,"16,588",166
Jiwani ,Gwadar ,,Balochistan,"5,355","2,387","2,966","1,254",552,702,"4,101","1,835","2,264","12,641","6,765","5,873","3,692","1,789","1,902","8,949","4,976","3,971",42.36%,35.28%,50.50%,33.97%,30.86%,36.91%,45.83%,36.88%,57.01%,262,252,268,161,184,143,334,312,356,4,4,4,2,2,1,5,5,5,35.28,41.11,28.67,48.91,55.68,42.61,29.97,36.16,22.41,"5,355",39
Ormara ,Gwadar ,,Balochistan,"2,067",904,"1,163","1,172",530,642,895,374,521,"6,982","3,595","3,387","2,396","1,225","1,171","4,586","2,370","2,216",29.60%,25.15%,34.34%,48.91%,43.27%,54.82%,19.52%,15.78%,23.51%,168,167,170,248,272,235,104,47,159,2,2,2,4,4,5,3,3,3,49.08,56.45,41.15,24.98,31.19,18.08,61.26,69.53,52.52,"2,067",7
Pasni ,Gwadar ,,Balochistan,"5,431","2,356","3,074","3,077","1,312","1,765","2,354","1,044","1,309","23,415","12,477","10,937","9,704","5,067","4,637","13,711","7,410","6,300",23.19%,18.88%,28.11%,31.71%,25.89%,38.06%,17.17%,14.09%,20.78%,106,67,124,145,141,148,69,32,129,1,1,1,1,1,2,2,2,2,59.71,68.81,50.14,44.14,54.97,33.05,70.83,78.47,62.64,"5,431",40
Sunster,Gwadar ,,Balochistan,"4,180","2,279","1,900","4,180","2,279","1,900",0,0,0,"8,199","4,732","3,466","8,199","4,732","3,466",0,0,0,50.98%,48.16%,54.82%,50.98%,48.16%,54.82%,0.00%,0.00%,0.00%,337,378,303,265,310,234,1,1,1,5,5,5,5,5,4,1,1,1,31.69,38.39,23.85,31.69,38.39,23.85,-,-,-,"4,180",28
Harnai ,Harnai ,,Balochistan,"22,529","10,359","12,169","21,360","9,853","11,506","1,169",506,663,"30,504","15,256","15,247","26,339","13,168","13,170","4,165","2,088","2,077",73.86%,67.90%,79.81%,81.10%,74.83%,87.37%,28.07%,24.23%,31.92%,539,535,517,528,521,517,218,193,221,3,3,3,3,3,3,2,2,2,36.28,46.56,25.76,30.39,39.91,20.64,60.76,74.29,46.99,"22,529",218
Khoast ,Harnai ,,Balochistan,"3,563","1,814","1,749","3,563","1,814","1,749",0,0,0,"5,380","3,008","2,372","5,380","3,008","2,372",0,0,0,66.23%,60.31%,73.74%,66.23%,60.31%,73.74%,0.00%,0.00%,0.00%,473,481,460,418,427,395,1,1,1,2,2,2,2,2,2,1,1,1,40.35,47.41,31.22,40.35,47.41,31.22,-,-,-,"3,563",23
Shahrigh,Harnai ,,Balochistan,"6,173","3,756","2,417","1,745",885,860,"4,428","2,871","1,557","10,503","6,230","4,273","3,566","2,064","1,502","6,937","4,166","2,771",58.77%,60.29%,56.56%,48.93%,42.88%,57.26%,63.83%,68.92%,56.19%,403,480,313,249,267,254,374,377,351,1,1,1,1,1,1,3,3,3,50.12,56.14,42.22,46.99,60.83,30.1,51.99,53.48,49.95,"6,173",52
Gandakha ,Jaffarabad ,,Balochistan,"19,955","8,936","11,019","19,955","8,936","11,019",0,0,0,"28,747","14,344","14,403","28,747","14,344","14,403",0,0,0,69.42%,62.30%,76.50%,69.42%,62.30%,76.50%,0.00%,0.00%,0.00%,502,504,493,448,453,428,1,1,1,3,3,3,1,2,1,1,1,1,24.59,33.82,15.27,24.59,33.82,15.27,-,-,-,"19,955",196
