Tehsil,District,Division,Province,OOSC number ,OOSC number male ,OOSC number female ,Rural Total,Rural Male,Rural Female,Urban Total,Urban Male,Urban Female,5-16 population,All Male 5-16 population,All female 5-16population,Total Rural  5-16population,Male Rural  5-16population,Female rural  5-16population,Total Urban  5-16population,Male Urban  5-16population,Female Urban  5-16population,% OOSC 5-16 population,% OOSC All Male 5-16 population,%OOSC All female 5-16population,%OOSC Total Rural 5-16population,%OOSC Male Rural  5-16population,%OOSC Female rural  5-16population,%OOSC Total Urban  5-16population,%OOSC Male Urban  5-16population,%OOSC Female Urban  5-16population,Rank total %,Rank male%,Rank female%,Rank Rural Total%,Rank Rural Male%,Rank Rural Female%,Rank Urban Total%,Rank Urban Male%,Rank Urban Female%,In district Rank total ,In district Rank male,In district Rank female,In district Rank Rural Total,In district Rank Rural Male,In district Rank Rural Female,In district Rank Urban Total,In district Rank Urban Male,In district Rank Urban Female,Total LR,Male LR,Female LR,Rural LR,Rural Male LR,Rural Female LR,Urban LR,Urban Male LR,Urban Female LR, OOSC number  ,Rank (OOSC #)
Pithoro ,Umer Kot,,Sindh,"25,145","11,295","13,848","23,768","10,669","13,097","1,377",626,751,"44,366","24,141","20,223","40,185","21,846","18,337","4,181","2,295","1,886",56.68%,46.79%,68.48%,59.15%,48.84%,71.42%,32.93%,27.28%,39.82%,381,367,414,335,318,372,262,230,275,2,2,3,1,1,1,4,4,4,39.9,52.65,26,35.09,48.68,20.26,77.16,83.49,70.28,"25,145",240
Samaro ,Umer Kot,,Sindh,"39,913","18,624","21,289","39,409","18,403","21,006",504,221,283,"62,487","33,805","28,682","59,829","32,392","27,437","2,658","1,413","1,245",63.87%,55.09%,74.22%,65.87%,56.81%,76.56%,18.96%,15.64%,22.73%,455,445,464,411,396,430,94,46,151,4,4,4,4,4,4,1,1,1,29.72,40.7,17.88,26.72,37.71,14.87,75.37,86.57,63.45,"39,913",357
Umer Kot ,Umer Kot,,Sindh,"103,035","44,944","58,085","84,194","37,246","46,944","18,841","7,698","11,141","203,133","108,601","94,526","141,220","75,510","65,706","61,913","33,091","28,820",50.72%,41.38%,61.45%,59.62%,49.33%,71.45%,30.43%,23.26%,38.66%,333,316,356,341,325,373,232,173,265,1,1,1,2,2,2,3,3,3,41,54.65,26.11,33.6,46.65,19.41,55.1,69.8,38.94,"103,035",548
Abbottabad ,Abbottabad ,,KPK,"31,190","14,343","16,846","23,451","10,154","13,297","7,739","4,189","3,549"," 270,097 ","136,461","133,633","202,521","101,843","100,677","67,576","34,618","32,956",11.55%,10.51%,12.61%,11.58%,9.97%,13.21%,11.45%,12.10%,10.77%,8,9,15,9,8,18,17,14,21,1,2,2,1,2,2,4,4,4,78.39,86.87,69.73,75.97,85.52,66.25,85.1,90.55,79.45,"31,190",289
Havelian ,Abbottabad ,,KPK,"9,454","4,450","5,004","7,892","3,643","4,249","1,562",807,755," 73,523 ","36,961","36,562","56,818","28,487","28,331","16,705","8,474","8,231",12.86%,12.04%,13.69%,13.89%,12.79%,15.00%,9.35%,9.52%,9.17%,15,14,20,26,23,28,6,6,9,4,4,3,4,4,4,3,3,3,76.08,85.35,67,73.95,84.09,64.07,83.46,89.72,77.35,"9,454",93
Lora ,Abbottabad ,,KPK,"2,919","1,410","1,509","2,919","1,410","1,509",0,0,0," 25,112 ","12,401","12,711","25,112","12,401","12,711",0,0,0,11.62%,11.37%,11.87%,11.62%,11.37%,11.87%,0.00%,0.00%,0.00%,9,11,12,10,14,12,1,1,1,2,3,1,2,3,1,1,1,1,73.73,82.36,65.39,73.73,82.36,65.39,-,-,-,"2,919",13
Lower Tanawal ,Abbottabad ,,KPK,"1,849",692,"1,157","1,849",692,"1,157",0,0,0," 15,505 ","7,708","7,797","15,505","7,708","7,797",0,0,0,11.93%,8.98%,14.84%,11.93%,8.98%,14.84%,0.00%,0.00%,0.00%,10,6,25,11,7,27,1,1,1,3,1,4,3,1,3,1,1,1,71.66,84.96,58.66,71.66,84.96,58.66,-,-,-,"1,849",4
Bar Chamarkand,Bajaur,,KPK,840,287,553,840,287,553,0,0,0," 1,249 ",619,630,"1,249",619,630,0,0,0,67.25%,46.37%,87.78%,67.25%,46.37%,87.78%,0.00%,0.00%,0.00%,481,364,562,427,300,522,1,1,1,5,4,7,5,4,7,1,1,1,23.81,41.57,5.22,23.81,41.57,5.22,-,-,-,840,1
Barang ,Bajaur,,KPK,"20,309","7,724","12,585","20,309","7,724","12,585",0,0,0," 33,689 ","16,741","16,948","33,689","16,741","16,948",0,0,0,60.28%,46.14%,74.26%,60.28%,46.14%,74.26%,0.00%,0.00%,0.00%,415,362,466,346,298,402,1,1,1,3,3,3,3,3,3,1,1,1,23.39,35.26,11.5,23.39,35.26,11.5,-,-,-,"20,309",198
Khar ,Bajaur,,KPK,"59,077","22,688","36,388","59,077","22,688","36,388",0,0,0," 107,721 ","53,774","53,946","107,721","53,774","53,946",0,0,0,54.84%,42.19%,67.45%,54.84%,42.19%,67.45%,0.00%,0.00%,0.00%,367,324,407,303,265,330,1,1,1,2,2,2,2,2,2,1,1,1,33.28,47.14,18.89,33.28,47.14,18.89,-,-,-,"59,077",445
Mamund ,Bajaur,,KPK,"85,924","32,878","53,042","85,924","32,878","53,042",0,0,0," 126,193 ","64,054","62,135","126,193","64,054","62,135",0,0,0,68.09%,51.33%,85.37%,68.09%,51.33%,85.37%,0.00%,0.00%,0.00%,487,409,549,434,338,508,1,1,1,6,6,6,6,6,6,1,1,1,24.48,38.99,9.34,24.48,38.99,9.34,-,-,-,"85,924",520
Nawagai ,Bajaur,,KPK,"23,763","9,182","14,580","23,763","9,182","14,580",0,0,0," 35,937 ","18,113","17,823","35,937","18,113","17,823",0,0,0,66.12%,50.69%,81.80%,66.12%,50.69%,81.80%,0.00%,0.00%,0.00%,472,402,529,417,332,480,1,1,1,4,5,4,4,5,4,1,1,1,27.39,41.52,12.65,27.39,41.52,12.65,-,-,-,"23,763",227
Salarzai ,Bajaur,,KPK,"78,874","31,470","47,403","78,874","31,470","47,403",0,0,0," 113,121 ","57,427","55,693","113,121","57,427","55,693",0,0,0,69.73%,54.80%,85.11%,69.73%,54.80%,85.11%,0.00%,0.00%,0.00%,504,443,547,453,376,505,1,1,1,7,7,5,7,7,5,1,1,1,19.9,32.15,7.62,19.9,32.15,7.62,-,-,-,"78,874",500
Utman Khel ,Bajaur,,KPK,"24,107","9,448","14,659","24,107","9,448","14,659",0,0,0," 44,758 ","22,685","22,073","44,758","22,685","22,073",0,0,0,53.86%,41.65%,66.41%,53.86%,41.65%,66.41%,0.00%,0.00%,0.00%,361,318,393,294,258,321,1,1,1,1,1,1,1,1,1,1,1,1,31.5,45.86,17.11,31.5,45.86,17.11,-,-,-,"24,107",233
Baka Khel ,Bannu,,KPK,"40,108","17,675","22,433","40,108","17,675","22,433",0,0,0," 65,794 ","36,403","29,391","65,794","36,403","29,391",0,0,0,60.96%,48.55%,76.33%,60.96%,48.55%,76.33%,0.00%,0.00%,0.00%,422,383,490,354,313,427,1,1,1,5,5,5,5,5,5,1,1,1,28.25,43.81,11.92,28.25,43.81,11.92,-,-,-,"40,108",359
Bannu ,Bannu,,KPK,"81,291","34,721","46,569","78,103","33,130","44,972","3,188","1,591","1,597"," 208,629 ","110,216","98,411","194,088","102,301","91,786","14,541","7,915","6,625",38.96%,31.50%,47.32%,40.24%,32.38%,49.00%,21.92%,20.10%,24.11%,232,227,252,198,192,205,145,121,163,1,1,1,1,1,1,6,6,6,49.46,64.54,33.42,46.66,62.23,30.29,80.4,88.4,70.72,"81,291",506
Domel ,Bannu,,KPK,"39,642","16,533","23,109","39,642","16,533","23,109",0,0,0," 73,692 ","40,932","32,760","73,692","40,932","32,760",0,0,0,53.79%,40.39%,70.54%,53.79%,40.39%,70.54%,0.00%,0.00%,0.00%,358,306,437,293,249,361,1,1,1,4,4,4,4,4,4,1,1,1,41.38,62.49,16.94,41.38,62.49,16.94,-,-,-,"39,642",355
Kakki ,Bannu,,KPK,"13,814","5,731","8,083","13,814","5,731","8,083",0,0,0," 29,504 ","15,703","13,800","29,504","15,703","13,800",0,0,0,46.82%,36.50%,58.57%,46.82%,36.50%,58.57%,0.00%,0.00%,0.00%,297,262,331,237,215,267,1,1,1,2,2,2,2,2,2,1,1,1,42.62,59.29,24.68,42.62,59.29,24.68,-,-,-,"13,814",139
Miryan ,Bannu,,KPK,"29,051","11,243","17,808","29,051","11,243","17,808",0,0,0," 56,524 ","30,548","25,976","56,524","30,548","25,976",0,0,0,51.40%,36.80%,68.56%,51.40%,36.80%,68.56%,0.00%,0.00%,0.00%,345,264,415,274,219,339,1,1,1,3,3,3,3,3,3,1,1,1,31.77,50.86,12.6,31.77,50.86,12.6,-,-,-,"29,051",273
Wazir ,Bannu,,KPK,"10,237","5,051","5,186","10,237","5,051","5,186",0,0,0," 13,366 ","7,429","5,937","13,366","7,429","5,937",0,0,0,76.59%,67.99%,87.35%,76.59%,67.99%,87.35%,0.00%,0.00%,0.00%,553,538,558,510,495,516,1,1,1,6,6,6,6,6,6,1,1,1,16.33,28.13,3.87,16.33,28.13,3.87,-,-,-,"10,237",104
Allai ,Batagram,,KPK,"38,722","14,640","24,082","38,722","14,640","24,082",0,0,0," 75,909 ","39,619","36,290","75,909","39,619","36,290",0,0,0,51.01%,36.95%,66.36%,51.01%,36.95%,66.36%,0.00%,0.00%,0.00%,338,266,390,266,220,319,1,1,1,2,2,2,2,2,2,1,1,1,35.71,52.16,18.43,35.71,52.16,18.43,-,-,-,"38,722",350
Batagram,Batagram,,KPK,"47,542","19,082","28,458","47,542","19,082","28,458",0,0,0," 115,248 ","59,936","55,310","115,248","59,936","55,310",0,0,0,41.25%,31.84%,51.45%,41.25%,31.84%,51.45%,0.00%,0.00%,0.00%,249,229,276,202,186,218,1,1,1,1,1,1,1,1,1,1,1,1,41.2,56.31,26.3,41.2,56.31,26.3,-,-,-,"47,542",400
Chagharzai ,Buner,,KPK,"17,180","5,876","11,303","17,180","5,876","11,303",0,0,0," 43,195 ","22,704","20,490","43,195","22,704","20,490",0,0,0,39.77%,25.88%,55.16%,39.77%,25.88%,55.16%,0.00%,0.00%,0.00%,237,180,304,192,139,238,1,1,1,5,4,6,5,4,6,1,1,1,38.27,56.97,20.3,38.27,56.97,20.3,-,-,-,"17,180",175
Daggar ,Buner,,KPK,"22,915","7,708","15,207","22,915","7,708","15,207",0,0,0," 64,295 ","33,314","30,981","64,295","33,314","30,981",0,0,0,35.64%,23.14%,49.08%,35.64%,23.14%,49.08%,0.00%,0.00%,0.00%,210,128,261,173,107,206,1,1,1,3,2,4,3,2,4,1,1,1,47.57,65.58,30.51,47.57,65.58,30.51,-,-,-,"22,915",221
Gadezai ,Buner,,KPK,"23,841","8,982","14,859","23,841","8,982","14,859",0,0,0," 66,294 ","34,623","31,671","66,294","34,623","31,671",0,0,0,35.96%,25.94%,46.92%,35.96%,25.94%,46.92%,0.00%,0.00%,0.00%,213,181,251,174,142,194,1,1,1,4,5,3,4,5,3,1,1,1,44.22,60.47,28.85,44.22,60.47,28.85,-,-,-,"23,841",229
Gagra ,Buner,,KPK,"20,764","7,584","13,179","20,764","7,584","13,179",0,0,0," 59,434 ","30,945","28,488","59,434","30,945","28,488",0,0,0,34.94%,24.51%,46.26%,34.94%,24.51%,46.26%,0.00%,0.00%,0.00%,206,156,244,167,122,191,1,1,1,2,3,2,2,3,2,1,1,1,46.22,63.19,29.6,46.22,63.19,29.6,-,-,-,"20,764",204
Khado Khel ,Buner,,KPK,"14,298","5,185","9,113","14,298","5,185","9,113",0,0,0," 43,937 ","23,129","20,808","43,937","23,129","20,808",0,0,0,32.54%,22.42%,43.80%,32.54%,22.42%,43.80%,0.00%,0.00%,0.00%,195,119,228,154,99,175,1,1,1,1,1,1,1,1,1,1,1,1,45.1,59.71,30.87,45.1,59.71,30.87,-,-,-,"14,298",144
Mandanr ,Buner,,KPK,"24,630","8,858","15,772","24,630","8,858","15,772",0,0,0," 61,901 ","32,055","29,846","61,901","32,055","29,846",0,0,0,39.79%,27.63%,52.84%,39.79%,27.63%,52.84%,0.00%,0.00%,0.00%,238,197,289,193,158,224,1,1,1,6,6,5,6,6,5,1,1,1,39.47,56.23,22.45,39.47,56.23,22.45,-,-,-,"24,630",237
Charsadda,Charsadda,,KPK,"77,535","34,226","43,306","69,245","30,271","38,971","8,290","3,955","4,335"," 281,842 ","147,376","134,463","237,535","124,404","113,128","44,307","22,972","21,335",27.51%,23.22%,32.21%,29.15%,24.33%,34.45%,18.71%,17.22%,20.32%,150,130,151,119,121,121,89,68,120,1,1,1,1,2,1,1,1,1,58.56,70.37,45.63,56.73,69.06,43.18,67.16,76.59,57.05,"77,535",497
Shabqadar ,Charsadda,,KPK,"43,169","18,001","25,165","32,617","13,120","19,494","10,552","4,881","5,671"," 139,095 ","72,999","66,093","106,656","55,797","50,856","32,439","17,202","15,237",31.04%,24.66%,38.08%,30.58%,23.51%,38.33%,32.53%,28.37%,37.22%,185,159,188,135,110,150,258,247,260,3,2,3,3,1,3,3,2,3,49.65,64.19,34.34,49.72,64.65,34.26,49.4,62.71,34.59,"43,169",374
Tangi ,Charsadda,,KPK,"45,926","19,941","25,984","42,787","18,330","24,456","3,139","1,611","1,528"," 151,481 ","78,741","72,737","141,573","73,613","67,957","9,908","5,128","4,780",30.32%,25.32%,35.72%,30.22%,24.90%,35.99%,31.68%,31.42%,31.97%,178,172,180,130,129,136,247,275,222,2,3,2,2,3,2,2,3,2,48.85,61.16,35.74,48.04,60.62,34.63,58.37,67.45,48.76,"45,926",388
Daraban ,Dera Ismail Khan,,KPK,"31,177","14,612","16,565","31,177","14,612","16,565",0,0,0," 51,052 ","27,223","23,829","51,052","27,223","23,829",0,0,0,61.07%,53.68%,69.52%,61.07%,53.68%,69.52%,0.00%,0.00%,0.00%,424,436,426,355,368,347,1,1,1,5,5,5,4,4,4,1,1,1,26.89,36.35,15.93,26.89,36.35,15.93,-,-,-,"31,177",288
D. I. Khan ,Dera Ismail Khan,,KPK,"92,478","43,292","49,183","81,206","36,893","44,310","11,272","6,399","4,873"," 237,102 ","126,446","110,653","179,743","96,015","83,725","57,359","30,431","26,928",39.00%,34.24%,44.45%,45.18%,38.42%,52.92%,19.65%,21.03%,18.10%,233,247,232,222,231,225,105,142,92,2,2,2,2,2,2,3,3,3,56.97,67.18,45.53,46.32,58.8,32.37,80.71,85.73,75.08,"92,478",532
Darazinda ,Dera Ismail Khan,,KPK,"21,228","10,126","11,102","21,228","10,126","11,102",0,0,0," 29,570 ","16,484","13,086","29,570","16,484","13,086",0,0,0,71.79%,61.43%,84.84%,71.79%,61.43%,84.84%,0.00%,0.00%,0.00%,524,492,544,475,442,502,1,1,1,6,6,6,6,6,6,1,1,1,28.67,40.16,15.51,28.67,40.16,15.51,-,-,-,"21,228",207
Kulachi ,Dera Ismail Khan,,KPK,"20,378","9,416","10,960","17,987","8,342","9,643","2,391","1,074","1,317"," 33,745 ","17,791","15,952","26,966","14,245","12,719","6,779","3,546","3,233",60.39%,52.93%,68.71%,66.70%,58.56%,75.82%,35.27%,30.29%,40.74%,417,427,417,424,416,423,274,269,282,4,4,4,5,5,5,5,5,6,30.29,40.63,18.57,21.81,31.32,11.08,54.93,67.47,40.53,"20,378",200
Paharpur ,Dera Ismail Khan,,KPK,"43,753","17,758","25,995","35,904","14,340","21,564","7,849","3,418","4,431"," 130,958 ","68,788","62,170","103,762","54,247","49,515","27,196","14,541","12,655",33.41%,25.82%,41.81%,34.60%,26.43%,43.55%,28.86%,23.51%,35.01%,199,179,216,164,151,173,221,180,244,1,1,1,1,1,1,4,4,4,48.86,64.77,31.92,46.67,63.02,29.34,56.71,70.94,41.25,"43,753",380
Paroa ,Dera Ismail Khan,,KPK,"55,553","24,997","30,556","50,371","22,500","27,871","5,182","2,497","2,685"," 109,162 ","57,565","51,597","95,113","50,204","44,909","14,049","7,361","6,688",50.89%,43.42%,59.22%,52.96%,44.82%,62.06%,36.89%,33.92%,40.15%,335,336,335,283,286,286,286,294,277,3,3,3,3,3,3,6,6,5,35.56,46.62,23.15,34.28,45.52,21.65,43.71,53.65,32.67,"55,553",431
Hangu ,Hangu,,KPK,"34,524","12,146","22,377","31,306","10,801","20,504","3,218","1,345","1,873"," 91,908 ","48,119","43,788","78,930","41,282","37,647","12,978","6,837","6,141",37.56%,25.24%,51.10%,39.66%,26.16%,54.46%,24.80%,19.67%,30.50%,223,169,272,190,146,231,179,113,210,1,1,1,1,1,1,1,2,1,48.63,70.75,28.05,45.72,69.42,23.91,64.02,77.51,50.69,"34,524",315
Tall ,Hangu,,KPK,"40,317","13,956","26,359","36,865","12,716","24,147","3,452","1,240","2,212"," 84,553 ","44,794","39,757","71,476","37,761","33,713","13,077","7,033","6,044",47.68%,31.16%,66.30%,51.58%,33.67%,71.63%,26.40%,17.63%,36.60%,303,222,389,276,200,374,200,76,259,2,2,2,2,2,2,2,1,2,36.7,60.45,14.99,32.62,57.98,9.92,57,71.96,41.79,"40,317",361
Ghazi ,Haripur,,KPK,"7,049","2,751","4,298","7,049","2,751","4,298",0,0,0," 41,512 ","21,523","19,989","41,512","21,523","19,989",0,0,0,16.98%,12.78%,21.50%,16.98%,12.78%,21.50%,0.00%,0.00%,0.00%,39,20,79,38,22,60,1,1,1,3,3,3,3,2,3,1,1,1,69.69,81.72,57.98,69.69,81.72,57.98,-,-,-,"7,049",70
Haripur ,Haripur,,KPK,"30,525","14,223","16,302","27,529","12,508","15,021","2,996","1,715","1,281"," 226,902 ","117,263","109,638","188,731","97,549","91,182","38,171","19,714","18,456",13.45%,12.13%,14.87%,14.59%,12.82%,16.47%,7.85%,8.70%,6.94%,19,16,26,34,24,33,3,4,3,2,2,2,2,3,2,3,3,3,76.07,84.39,67.62,73.99,83,64.8,85.39,90.69,80.1,"30,525",283
Khanpur ,Haripur,,KPK,"6,264","2,716","3,548","6,264","2,716","3,548",0,0,0," 50,274 ","25,914","24,359","50,274","25,914","24,359",0,0,0,12.46%,10.48%,14.57%,12.46%,10.48%,14.57%,0.00%,0.00%,0.00%,12,8,23,14,11,26,1,1,1,1,1,1,1,1,1,1,1,1,73.76,84.91,62.97,73.76,84.91,62.97,-,-,-,"6,264",54
Banda Daud Shah ,Karak,,KPK,"21,157","7,622","13,535","21,157","7,622","13,535",0,0,0," 54,835 ","28,301","26,534","54,835","28,301","26,534",0,0,0,38.58%,26.93%,51.01%,38.58%,26.93%,51.01%,0.00%,0.00%,0.00%,227,188,271,184,155,213,1,1,1,3,3,3,3,3,3,1,1,1,53.95,76.55,31.67,53.95,76.55,31.67,-,-,-,"21,157",206
Karak ,Karak,,KPK,"23,198","9,331","13,864","20,086","7,997","12,086","3,112","1,334","1,778"," 102,346 ","53,992","48,351","84,930","44,777","40,150","17,416","9,215","8,201",22.67%,17.28%,28.67%,23.65%,17.86%,30.10%,17.87%,14.48%,21.68%,96,51,127,81,56,95,79,34,139,1,1,1,1,1,1,3,3,3,67.76,85.81,48.55,66.97,86.06,46.67,71.51,84.61,57.5,"23,198",222
Takht-E-Nasrati ,Karak,,KPK,"24,638","9,874","14,764","24,638","9,874","14,764",0,0,0," 91,442 ","48,035","43,407","91,442","48,035","43,407",0,0,0,26.94%,20.56%,34.01%,26.94%,20.56%,34.01%,0.00%,0.00%,0.00%,140,91,166,101,78,117,1,1,1,2,2,2,2,2,2,1,1,1,69.55,86.6,51.08,69.55,86.6,51.08,-,-,-,"24,638",238
Bara ,Khyber,,KPK,"111,845","44,159","67,682","111,845","44,159","67,682",0,0,0," 207,050 ","109,715","97,331","207,050","109,715","97,331",0,0,0,54.02%,40.25%,69.54%,54.02%,40.25%,69.54%,0.00%,0.00%,0.00%,362,303,427,296,246,348,1,1,1,3,3,2,3,3,1,1,1,1,34.72,53.13,15.17,34.72,53.13,15.17,-,-,-,"111,845",554
Jamrud ,Khyber,,KPK,"36,663","15,087","21,575","31,307","12,769","18,537","5,356","2,318","3,038"," 87,120 ","46,824","40,294","68,112","36,700","11,208","19,008","10,124","8,884",42.08%,32.22%,53.54%,45.96%,34.79%,165.39%,28.18%,22.90%,34.20%,259,231,292,229,206,554,220,168,238,1,2,1,1,2,4,3,3,3,46.18,62.83,27.57,40.61,57.98,21.04,63.94,78.52,48.03,"36,663",332
Landi Kotal ,Khyber,,KPK,"56,912","18,115","38,797","50,239","15,974","34,265","6,673","2,141","4,532"," 113,048 ","59,898","53,150","99,372","52,721","46,651","13,676","7,177","6,499",50.34%,30.24%,73.00%,50.56%,30.30%,73.45%,48.79%,29.83%,69.73%,331,217,455,260,180,388,342,261,371,2,1,3,2,1,2,4,4,4,38.92,62.99,12.66,36.47,61.09,9.74,55.22,75.41,32.46,"56,912",437
Mulagori ,Khyber,,KPK,"8,090","3,388","4,702","8,090","3,388","4,702",0,0,0," 13,335 ","7,407","5,928","13,335","7,407","5,928",0,0,0,60.67%,45.74%,79.32%,60.67%,45.74%,79.32%,0.00%,0.00%,0.00%,420,358,513,349,295,456,1,1,1,4,4,4,4,4,3,1,1,1,38.36,58.11,15.47,38.36,58.11,15.47,-,-,-,"8,090",83
Darra Adam Khel ,Kohat,,KPK,"12,087","3,362","8,725","12,087","3,362","8,725",0,0,0," 44,079 ","22,817","21,262","44,079","22,817","21,262",0,0,0,27.42%,14.73%,41.04%,27.42%,14.73%,41.04%,0.00%,0.00%,0.00%,147,31,209,105,35,159,1,1,1,1,1,2,1,1,1,1,1,1,58.9,83.11,34.59,58.9,83.11,34.59,-,-,-,"12,087",122
Gumbat,Kohat,,KPK,"11,589","3,749","7,840","11,589","3,749","7,840",0,0,0," 37,044 ","19,173","17,871","37,044","19,173","17,871",0,0,0,31.28%,19.55%,43.87%,31.28%,19.55%,43.87%,0.00%,0.00%,0.00%,187,77,229,139,68,176,1,1,1,3,3,4,2,3,2,1,1,1,54.55,74.98,34.05,54.55,74.98,34.05,-,-,-,"11,589",117
Kohat,Kohat,,KPK,"80,034","27,665","52,367","62,947","19,813","43,132","17,087","7,852","9,235"," 252,950 ","133,258","119,689","185,131","97,689","87,439","67,819","35,569","32,250",31.64%,20.76%,43.75%,34.00%,20.28%,49.33%,25.20%,22.08%,28.64%,190,95,227,162,76,208,185,158,194,4,4,3,4,4,4,4,4,4,58.19,74.17,41.77,52.63,71.31,33.79,71.37,80.75,61.32,"80,034",503
Lachi ,Kohat,,KPK,"12,126","3,751","8,373","10,137","2,902","7,234","1,989",849,"1,139"," 44,077 ","22,891","21,184","32,341","16,815","15,525","11,736","6,076","5,659",27.51%,16.39%,39.53%,31.34%,17.26%,46.60%,16.95%,13.97%,20.13%,151,42,201,141,52,192,65,31,116,2,2,1,3,2,3,3,3,3,63.39,83.24,42.65,57.71,81.18,33.58,77.65,88.26,66.09,"12,126",123
Battera Kolai,Kolai Palas Kohistan,,KPK,"53,261","27,066","26,195","53,261","27,066","26,195",0,0,0," 60,197 ","31,622","28,575","60,197","31,622","28,575",0,0,0,88.48%,85.59%,91.67%,88.48%,85.59%,91.67%,0.00%,0.00%,0.00%,588,588,578,551,551,539,1,1,1,2,2,2,2,2,2,1,1,1,15.93,20.06,11.57,15.93,20.06,11.57,-,-,-,"53,261",422
Palas ,Kolai Palas Kohistan,,KPK,"27,072","12,808","14,263","27,072","12,808","14,263",0,0,0," 36,253 ","18,462","17,790","36,253","18,462","17,790",0,0,0,74.68%,69.37%,80.17%,74.68%,69.37%,80.17%,0.00%,0.00%,0.00%,545,549,520,501,509,465,1,1,1,1,1,1,1,1,1,1,1,1,23.08,30.58,15.43,23.08,30.58,15.43,-,-,-,"27,072",253
Central Kurram,Kurram,,KPK,"97,242","45,994","51,246","97,242","45,994","51,246",0,0,0," 134,348 ","73,902","60,443","134,348","73,902","60,443",0,0,0,72.38%,62.24%,84.78%,72.38%,62.24%,84.78%,0.00%,0.00%,0.00%,527,502,543,479,450,501,1,1,1,3,3,3,3,3,3,1,1,1,20.97,32.67,8.48,20.97,32.67,8.48,-,-,-,"97,242",539
Lower Kurram ,Kurram,,KPK,"24,859","10,237","14,621","18,179","7,388","10,790","6,680","2,849","3,831"," 50,316 ","26,667","23,648","37,133","19,574","17,558","13,183","7,093","6,090",49.41%,38.39%,61.83%,48.96%,37.74%,61.45%,50.67%,40.17%,62.91%,321,277,360,250,225,283,350,328,365,2,2,2,2,2,2,3,3,3,38.15,55.29,20.7,36.88,53.89,19.91,41.91,59.31,23.15,"24,859",239
Upper Kurram ,Kurram,,KPK,"23,369","8,793","14,575","23,063","8,637","14,425",306,156,150," 84,035 ","43,733","40,300","82,563","42,960","39,601","1,472",773,699,27.81%,20.11%,36.17%,27.93%,20.10%,36.43%,20.79%,20.18%,21.46%,152,84,184,109,74,141,128,123,136,1,1,1,1,1,1,2,2,2,49.07,65.01,33.26,48.53,64.58,32.64,76.04,85.06,66.01,"23,369",224
Bettani ,Lakki Marwat,,KPK,"8,732","3,533","5,199","8,732","3,533","5,199",0,0,0," 12,821 ","6,815","6,006","12,821","6,815","6,006",0,0,0,68.11%,51.84%,86.56%,68.11%,51.84%,86.56%,0.00%,0.00%,0.00%,488,418,553,435,345,512,1,1,1,4,4,4,4,4,4,1,1,1,31.62,49.19,13.11,31.62,49.19,13.11,-,-,-,"8,732",88
Ghazni Khel ,Lakki Marwat,,KPK,"35,729","10,748","24,979","35,729","10,748","24,979",0,0,0," 101,987 ","50,589","51,396","101,987","50,589","51,396",0,0,0,35.03%,21.25%,48.60%,35.03%,21.25%,48.60%,0.00%,0.00%,0.00%,207,105,255,168,87,204,1,1,1,1,1,1,1,1,1,1,1,1,54.29,75.24,32.91,54.29,75.24,32.91,-,-,-,"35,729",326
Lakki Marwat,Lakki Marwat,,KPK,"43,525","15,030","28,494","38,598","13,000","25,597","4,927","2,030","2,897"," 105,001 ","52,313","52,686","85,213","42,471","42,740","19,788","9,842","9,946",41.45%,28.73%,54.08%,45.30%,30.61%,59.89%,24.90%,20.63%,29.13%,253,205,297,224,181,276,182,133,196,2,2,2,2,2,2,4,4,3,50.06,69.89,29.51,46.02,67.77,23.54,64.55,77.46,51.04,"43,525",378
Sarai Naurang ,Lakki Marwat,,KPK,"54,115","21,614","32,501","51,626","20,615","31,011","2,489",999,"1,490"," 111,768 ","57,503","54,264","101,562","52,360","49,201","10,206","5,143","5,063",48.42%,37.59%,59.89%,50.83%,39.37%,63.03%,24.39%,19.42%,29.43%,310,270,341,263,238,292,173,110,201,3,3,3,3,3,3,3,3,4,42.66,58.67,25.96,41.19,57.46,24.18,55.51,69.38,41.35,"54,115",424
Chitral,Lower Chitral,,KPK,"7,271","3,168","4,103","5,479","2,278","3,201","1,792",890,902," 52,735 ","26,402","26,333","38,733","19,341","19,392","14,002","7,061","6,941",13.79%,12.00%,15.58%,14.15%,11.78%,16.51%,12.80%,12.60%,13.00%,22,13,32,29,16,34,25,16,33,1,1,1,1,1,1,2,2,2,70.2,80.57,59.24,67.66,78.44,56.36,77.17,86.37,67.26,"7,271",72
Drosh ,Lower Chitral,,KPK,"10,011","4,525","5,486","10,011","4,525","5,486",0,0,0," 34,606 ","17,640","16,966","34,606","17,640","16,966",0,0,0,28.93%,25.65%,32.34%,28.93%,25.65%,32.34%,0.00%,0.00%,0.00%,160,176,152,116,137,109,1,1,1,2,2,2,2,2,2,1,1,1,57.38,68.83,45.26,57.38,68.83,45.26,-,-,-,"10,011",100
Adenzai ,Lower Dir,,KPK,"27,943","11,667","16,276","27,943","11,667","16,276",0,0,0," 121,013 ","62,770","58,243","121,013","62,770","58,243",0,0,0,23.09%,18.59%,27.94%,23.09%,18.59%,27.94%,0.00%,0.00%,0.00%,102,64,123,77,59,88,1,1,1,2,2,2,2,2,2,1,1,1,62.19,74.52,49.48,62.19,74.52,49.48,-,-,-,"27,943",264
